TIER-1	TIER-2	TIER-3	TIER-4	TIER-5	TIER-6
MATHEMATICS, STATISTICS, AND PROBABILITY	Probability Theory	Expected Value & Variance	Variance		
MATHEMATICS, STATISTICS, AND PROBABILITY	Probability Theory	Expected Value & Variance	Properties of Expectation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Probability Theory	Expected Value & Variance	Properties of Variance		
MATHEMATICS, STATISTICS, AND PROBABILITY	Probability Theory	Expected Value & Variance	Covariance Properties		
MATHEMATICS, STATISTICS, AND PROBABILITY	Probability Theory	Expected Value & Variance	Moment Generating Functions		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Point Estimation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Interval Estimation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Estimator Properties (Unbiased, Consistent)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Maximum Likelihood Estimation (MLE)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Method of Moments		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Estimation Theory	Bayesian Estimation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Confidence Interval Formula	CI = x̄ ± t*(s/√n)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Confidence Interval Formula	Critical t-Value Selection
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Confidence Interval Formula	Standard Error Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Interpretation of CI	"We are 95% confident that..."
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Interpretation of CI	Common Misinterpretations
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Interpretation of CI	Average Order Value CI Interpretation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Sample Size Impact on Width	Inverse Square Root Relationship
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Mean	Sample Size Impact on Width	4x Sample Size = 1/2 CI Width
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Proportion CI Formula	CI = p̂ ± z*√(p̂(1-p̂)/n)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Proportion CI Formula	Wilson Score Interval
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Conversion Rate Confidence Intervals	Email Conversion Rate CI
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Conversion Rate Confidence Intervals	Landing Page Conversion CI
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Conversion Rate Confidence Intervals	Click-Through Rate CI
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Success Rate Estimation	Win Rate Confidence Intervals
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Proportion	Success Rate Estimation	Campaign Success Rate CI
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	Difference in Means CI	Two Independent Samples Formula
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	Difference in Means CI	Revenue Lift Confidence Interval
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	Difference in Proportions CI	Conversion Rate Difference CI
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	Difference in Proportions CI	Relative Lift CI Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	A/B Test Results Interpretation	Statistical vs Practical Significance
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	A/B Test Results Interpretation	Winner Declaration Criteria
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Interval for Difference	A/B Test Results Interpretation	Overlapping CI Interpretation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Confidence Level Interpretation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Margin of Error		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Confidence Intervals	Sample Size for Desired Precision		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Hypothesis Formulation	H0: No Difference/Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Hypothesis Formulation	Ha: There is a Difference/Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Hypothesis Formulation	Writing Testable Hypotheses
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Directional vs Non-Directional	One-Tailed Tests
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Directional vs Non-Directional	Two-Tailed Tests
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Directional vs Non-Directional	When to Use Each Type
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Marketing Hypothesis Examples	"Variant B > Control" Hypothesis
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Marketing Hypothesis Examples	"Campaign Increases Conversion Rate"
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Null & Alternative Hypotheses	Marketing Hypothesis Examples	"Price Change Affects Purchase Intent"
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	False Positive Definition	Declaring Winner When No True Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	False Positive Definition	Rejecting True Null Hypothesis
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	Alpha Level Selection (0.05, 0.01)	Standard 5% Significance Level
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	Alpha Level Selection (0.05, 0.01)	Conservative 1% Level
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	Alpha Level Selection (0.05, 0.01)	Business Context Considerations
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	Type I Error in Marketing Tests	Cost of False Positive Implementation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type I Error (Alpha)	Type I Error in Marketing Tests	Launching Ineffective Campaign
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	False Negative Definition	Missing True Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	False Negative Definition	Failing to Reject False Null
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	Beta & Statistical Power Relationship	Power = 1 - Beta
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	Beta & Statistical Power Relationship	Typical Beta of 0.20 (80% Power)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	Consequences in Marketing Decisions	Missing Winning Variant
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Type II Error (Beta)	Consequences in Marketing Decisions	Not Detecting True Campaign Impact
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Value Definition	Probability of Results Given Null is True
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Value Definition	Extremity of Observed Data
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Value Interpretation	P < 0.05 Interpretation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Value Interpretation	Strength of Evidence Scale
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Value Interpretation	Decision Rule: Reject if P < Alpha
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	Common Misinterpretations	P-Value is NOT Probability Null is True
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	Common Misinterpretations	P-Value is NOT Effect Size
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	Common Misinterpretations	P-Value is NOT Practical Significance
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Hacking & Multiple Testing	Running Tests Until P < 0.05
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Hacking & Multiple Testing	Cherry-Picking Metrics
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	P-Value	P-Hacking & Multiple Testing	Selective Reporting of Results
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Significance Level		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	One-Tailed vs Two-Tailed Tests		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Hypothesis Testing Framework	Test Statistic		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	One-Sample t-Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Independent t-Test Assumptions	Independence of Observations
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Independent t-Test Assumptions	Normality of Distribution
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Independent t-Test Assumptions	Homogeneity of Variance
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Equal vs Unequal Variance	Levene's Test for Equality of Variances
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Equal vs Unequal Variance	Welch's t-Test for Unequal Variances
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	A/B Test Statistical Analysis	t-Test for Continuous Metrics (Revenue, Time on Site)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	A/B Test Statistical Analysis	Calculating t-Statistic
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	A/B Test Statistical Analysis	Degrees of Freedom Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Interpretation of Results	t-Value Interpretation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Two-Sample t-Test	Interpretation of Results	Reporting t-Test Results
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Paired t-Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	Z-Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Multiple Group Comparison	F-Statistic Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Multiple Group Comparison	Between-Group vs Within-Group Variance
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Multiple Group Comparison	Comparing 3+ Marketing Variants
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Post-Hoc Tests	Tukey HSD Test
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Post-Hoc Tests	Bonferroni Post-Hoc
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Post-Hoc Tests	Pairwise Comparisons After ANOVA
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Multivariate Testing Analysis	Analyzing Multiple Variants Simultaneously
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (One-Way)	Multivariate Testing Analysis	Email Subject Line Multi-Variant Test
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	ANOVA (Two-Way)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Parametric Tests	F-Test for Variances		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Mann-Whitney U Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Wilcoxon Signed-Rank Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Kruskal-Wallis Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Friedman Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Goodness-of-Fit Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Contingency Table Analysis	2x2 Table Setup
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Contingency Table Analysis	Expected Frequency Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Contingency Table Analysis	Chi-Square Statistic Calculation
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Categorical Variable Association	Testing Relationship Between Categories
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Categorical Variable Association	Channel Type vs Conversion (Yes/No)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Marketing Segment Analysis	Customer Segment vs Purchase Behavior
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Marketing Segment Analysis	Geographic Region vs Product Preference
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Chi-Square Test of Independence	Marketing Segment Analysis	Age Group vs Channel Preference
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Non-Parametric Tests	Sign Test		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Power Definition (1-Beta)	Probability of Detecting True Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Power Definition (1-Beta)	Avoiding False Negatives
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Minimum Detectable Effect (MDE)	MDE Definition & Importance
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Minimum Detectable Effect (MDE)	Setting Realistic MDE
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Minimum Detectable Effect (MDE)	MDE in Conversion Rate Tests (e.g., 2% Absolute Lift)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Power of 0.80 Standard	80% Power Industry Standard
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Statistical Power	Power of 0.80 Standard	Balancing Power with Sample Size
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Power-Based Sample Size	Online Sample Size Calculators
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Power-Based Sample Size	Evan Miller's Calculator
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Power-Based Sample Size	Optimizely Sample Size Calculator
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Effect Size Input	Specifying Expected Lift
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Effect Size Input	Conservative vs Optimistic Effect Size
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Sample Size Calculators & Tools	G*Power Software
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Sample Size Calculators & Tools	R pwr Package
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Sample Size Calculation	Sample Size Calculators & Tools	Python statsmodels
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Effect Size Classification (Small, Medium, Large)	d = 0.2 (Small Effect)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Effect Size Classification (Small, Medium, Large)	d = 0.5 (Medium Effect)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Effect Size Classification (Small, Medium, Large)	d = 0.8 (Large Effect)
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Practical Significance vs Statistical Significance	Statistical Significance with Tiny Effect
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Practical Significance vs Statistical Significance	Business Impact Assessment
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Marketing Lift Measurement	Campaign Lift Effect Size
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Cohen's d	Marketing Lift Measurement	Conversion Rate Lift Magnitude
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Effect Size Measures		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Statistical Power & Effect Size	Practical vs Statistical Significance		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Multiple Testing Problem		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	Bonferroni Adjustment Method	Adjusted Alpha = α/m
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	Bonferroni Adjustment Method	Dividing Alpha by Number of Tests
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	When to Apply Correction	Multiple Metrics Testing
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	When to Apply Correction	Family-Wise Error Control
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	Multiple A/B Test Correction	Testing 5 Variants Simultaneously
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Bonferroni Correction	Multiple A/B Test Correction	Adjusted Significance Thresholds
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	FDR Control Methods	FDR vs FWER Comparison
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	FDR Control Methods	Acceptable False Discovery Proportion
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	Benjamini-Hochberg Procedure	BH Procedure Steps
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	Benjamini-Hochberg Procedure	Ranking P-Values
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	Multiple Campaign Testing	Testing Multiple Campaigns/Channels
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	False Discovery Rate (FDR)	Multiple Campaign Testing	Controlling False Discoveries Across Tests
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Family-Wise Error Rate (FWER)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Tukey's HSD		
MATHEMATICS, STATISTICS, AND PROBABILITY	Inferential Statistics	Multiple Comparisons	Scheffe's Method		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Multivariate Analysis Techniques	Multivariate Data Structures		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Multivariate Analysis Techniques	MANOVA (Multivariate ANOVA)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Multivariate Analysis Techniques	Multivariate Regression		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Multivariate Analysis Techniques	Dimensionality Reduction		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Multivariate Analysis Techniques	Feature Selection		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Standardization Before PCA	Z-Score Standardization Necessity
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Standardization Before PCA	Impact of Scale Differences
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Covariance Matrix Calculation	Covariance Matrix Construction
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Covariance Matrix Calculation	Variable Relationships Quantification
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Eigenvalue Decomposition	Eigenvalue & Eigenvector Extraction
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA Methodology	Eigenvalue Decomposition	Principal Components as Eigenvectors
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Principal Components		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Variance Explained	Cumulative Variance Explained	Cumulative Sum of Eigenvalues
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Variance Explained	Cumulative Variance Explained	80% Variance Threshold
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Variance Explained	Component Selection Criteria	Kaiser Criterion (Eigenvalue > 1)
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Variance Explained	Component Selection Criteria	Cumulative Variance Threshold
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Scree Plot	Scree Plot Interpretation	Plotting Eigenvalues
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Scree Plot	Scree Plot Interpretation	Identifying "Elbow"
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Scree Plot	Elbow Method for Components	Visual Inflection Point
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Scree Plot	Elbow Method for Components	Component Retention Decision
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	Loading Interpretation		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Principal Component Analysis (PCA)	PCA for Data Compression		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Factor Extraction Methods	Principal Axis Factoring
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Factor Extraction Methods	Maximum Likelihood Extraction
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Brand Attribute Analysis	Identifying Underlying Brand Perceptions
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Brand Attribute Analysis	Simplifying Brand Attribute Data
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Customer Need Identification	Uncovering Latent Customer Needs
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Exploratory Factor Analysis (EFA)	Customer Need Identification	Survey Data Factor Structure
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Confirmatory Factor Analysis (CFA)		
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Factor Loadings	Loading Interpretation	High Loading (>0.6) Interpretation
MATHEMATICS, STATISTICS, AND PROBABILITY	Predictive & Multivariate Statistics	Factor Analysis	Factor Loadings	Loading Interpretation	Variable-Factor Relationship Strength
