## Customer Journey Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
| Product Analytics | Usage Patterns | Stickiness Ratio | Habitual usage indicator | DAU / MAU × 100 | Habit formation measure |
| Product Analytics | Usage Patterns | Session Frequency | Usage occasions | Sessions / User / Time period | Engagement intensity |
| Product Analytics | Usage Patterns | Session Duration | Time per usage | Total time in product / Number of sessions | Depth of usage |
| Product Analytics | Product Performance | Task Completion Rate | User success frequency | Completed tasks / Attempted tasks × 100 | Usability effectiveness |
| Product Analytics | Product Performance | Error Rate | Problem frequency | Errors encountered / Total interactions × 100 | Quality issue indicator |
| Product Analytics | Product Performance | Load Performance | Speed metrics | Page/screen load times by percentile | Performance quality |
| Product Analytics | Product Performance | Crash Rate | Stability measure | App crashes / App sessions × 100 | Technical quality indicator |
| Product Analytics | Product Performance | API Response Time | Backend performance | Average API call duration | Infrastructure efficiency |
| Product Analytics | User Paths | Critical Path Completion | Key journey success | Completed critical paths / Started paths × 100 | Core UX effectiveness |
| Product Analytics | User Paths | Path Deviation Rate | Unexpected route frequency | Non-optimal paths / Total paths × 100 | UX confusion indicator |
| Product Analytics | User Paths | Feature Interaction Sequence | Usage order patterns | Common feature sequences by frequency | Workflow optimization guide |
| Product Analytics | User Paths | Dead End Rate | Navigation failures | Sessions ending without completion / Total sessions × 100 | UX problem identifier |
| Product Analytics | Product Value | Value Realization Time | Time to user benefit | Days from start to first value moment | Onboarding effectiveness |
| Product Analytics | Product Value | Feature Value Score | Perceived feature worth | User rating × Usage frequency composite | Development focus guide |
| Product Analytics | Product Value | Upgrade Trigger Analysis | Premium conversion drivers | Feature usage correlation with upgrades | Monetization opportunity |
| Product Analytics | Product Value | Value per User Segment | Differential product worth | Segment-specific usage × Value metrics | Segment strategy guide |
| Product Analytics | Retention Impact | Feature Retention Correlation | Features driving retention | Statistical correlation of feature use with retention | Retention driver identification |
| Product Analytics | Retention Impact | Product Market Fit Score | User satisfaction indicator | % Users very disappointed if product went away | Core value validation |
| Product Analytics | Retention Impact | Engagement Cliff Analysis | Drop-off points | Major engagement decline points over time | Critical intervention timing |
| Product Analytics | Product Health | Technical Debt Indicator | Code quality impact | Bug rate + Performance degradation over time | Maintenance need measure |
| Product Analytics | Product Health | Feature Bloat Index | Complexity measure | Unused features / Total features × 100 | Simplification opportunity |
| Product Analytics | Product Health | User Satisfaction Trend | Product NPS over time | Monthly/quarterly NPS progression | Strategic health indicator |

## Sales & Pipeline Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Sales & Pipeline Analytics | Pipeline Health | Pipeline Value | Total opportunity worth | Sum of all open opportunity values | Revenue potential indicator |
| Sales & Pipeline Analytics | Pipeline Health | Pipeline Coverage | Goal attainment likelihood | Pipeline value / Revenue target | Target achievement predictor |
| Sales & Pipeline Analytics | Pipeline Health | Pipeline Velocity | Deal movement speed | (Opportunities × Win rate × Deal size) / Sales cycle length | Efficiency measure |
| Sales & Pipeline Analytics | Pipeline Health | Stage Distribution | Opportunities by stage | Count by stage / Total opportunities × 100 | Pipeline balance indicator |
| Sales & Pipeline Analytics | Pipeline Health | Pipeline Age | Opportunity staleness | Average days in pipeline by stage | Stagnation identifier |
| Sales & Pipeline Analytics | Lead Management | Lead Volume | Inbound interest level | New leads / Time period | Demand generation success |
| Sales & Pipeline Analytics | Lead Management | Lead Quality Score | Lead potential value | Composite score based on fit and behavior | Prioritization guide |
| Sales & Pipeline Analytics | Lead Management | Lead Response Time | Speed to contact | Time from lead creation to first contact | Conversion impact factor |
| Sales & Pipeline Analytics | Lead Management | Lead Conversion Rate | Lead to opportunity rate | Opportunities created / Leads × 100 | Lead quality indicator |
| Sales & Pipeline Analytics | Lead Management | Marketing Qualified Lead Rate | Marketing to sales handoff | MQLs / Total leads × 100 | Marketing effectiveness |
| Sales & Pipeline Analytics | Conversion Metrics | Win Rate | Deal success frequency | Won deals / Total closed deals × 100 | Sales effectiveness core metric |
| Sales & Pipeline Analytics | Conversion Metrics | Loss Reason Analysis | Why deals fail | Loss reasons / Total losses × 100 | Improvement opportunity identifier |
| Sales & Pipeline Analytics | Conversion Metrics | Competitive Win Rate | Head-to-head success | Wins vs competitor / Total competitive deals × 100 | Market position indicator |
| Sales & Pipeline Analytics | Conversion Metrics | Stage Conversion Rates | Progress between stages | Next stage advances / Current stage × 100 | Process efficiency measure |
| Sales & Pipeline Analytics | Conversion Metrics | Qualification Rate | Discovery to opportunity | Qualified opportunities / Total discoveries × 100 | Early funnel efficiency |
| Sales & Pipeline Analytics | Sales Efficiency | Sales Cycle Length | Time to close | Average days from opportunity to close | Process speed indicator |
| Sales & Pipeline Analytics | Sales Efficiency | Deal Size | Transaction value | Average or median closed deal value | Revenue quality measure |
| Sales & Pipeline Analytics | Sales Efficiency | Sales Productivity | Output per rep | Revenue per sales rep / Time period | Team effectiveness measure |
| Sales & Pipeline Analytics | Sales Efficiency | Activity Conversion | Action to outcome ratio | Outcomes / Activities × 100 | Effort effectiveness |
| Sales & Pipeline Analytics | Sales Efficiency | Cost of Sale | Expense per deal | Total sales costs / Number of deals | Efficiency benchmark |
| Sales & Pipeline Analytics | Account Management | Account Penetration | Wallet share capture | Current spend / Total account potential × 100 | Growth opportunity measure |
| Sales & Pipeline Analytics | Account Management | Account Health Score | Relationship strength | Composite of usage, satisfaction, growth | Retention risk indicator |
| Sales & Pipeline Analytics | Account Management | Expansion Revenue Rate | Growth from existing | Expansion revenue / Total revenue × 100 | Land and expand success |
| Sales & Pipeline Analytics | Account Management | Logo Retention Rate | Account keeping success | Retained accounts / Total accounts × 100 | Relationship maintenance |
| Sales & Pipeline Analytics | Account Management | Strategic Account Performance | Key account success | Strategic account revenue / Total revenue × 100 | Focus effectiveness |
| Sales & Pipeline Analytics | Forecasting | Forecast Accuracy | Prediction precision | |Actual - Forecast| / Actual × 100 | Planning reliability |
| Sales & Pipeline Analytics | Forecasting | Commit Coverage | Confidence in forecast | Committed pipeline / Forecast × 100 | Risk assessment tool |
| Sales & Pipeline Analytics | Forecasting | Weighted Pipeline Value | Probability-adjusted value | Sum(Opportunity value × Stage probability) | Realistic revenue expectation |
| Sales & Pipeline Analytics | Forecasting | Close Date Accuracy | Timing prediction quality | On-time closes / Total closes × 100 | Planning precision measure |
| Sales & Pipeline Analytics | Team Performance | Quota Attainment | Goal achievement rate | Reps at quota / Total reps × 100 | Team success measure |
| Sales & Pipeline Analytics | Team Performance | Ramp Time | New rep productivity | Days to full productivity | Onboarding effectiveness |
| Sales & Pipeline Analytics | Team Performance | Rep Performance Distribution | Team variance | Performance by quartile distribution | Coaching need identifier |

## Attribution & Path Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Attribution & Path Analytics | Touch Analysis | Average Touchpoints | Interactions before conversion | Total touchpoints / Number of conversions | Journey complexity indicator |
| Attribution & Path Analytics | Touch Analysis | Touchpoint Distribution | Interaction frequency by type | Touchpoint type count / Total touchpoints × 100 | Channel mix understanding |
| Attribution & Path Analytics | Touch Analysis | First Touch Channel | Initial interaction source | First touches by channel / Total conversions × 100 | Awareness driver identification |
| Attribution & Path Analytics | Touch Analysis | Last Touch Channel | Final interaction source | Last touches by channel / Total conversions × 100 | Closer identification |
| Attribution & Path Analytics | Touch Analysis | Assist Interaction Rate | Supporting touch frequency | Assisted conversions / Total conversions × 100 | Journey complexity measure |
| Attribution & Path Analytics | Path Patterns | Top Conversion Paths | Most common journeys | Path frequency / Total conversions × 100 | Optimization opportunity |
| Attribution & Path Analytics | Path Patterns | Path Length Distribution | Journey complexity variance | Conversions by path length / Total conversions × 100 | Segmentation insight |
| Attribution & Path Analytics | Path Patterns | Channel Transition Matrix | Movement between channels | Transitions from A to B / Total transitions from A × 100 | Flow optimization guide |
| Attribution & Path Analytics | Path Patterns | Path Dropout Rate | Journey abandonment points | Exits at step / Entries at step × 100 | Friction point identifier |
| Attribution & Path Analytics | Path Patterns | Circular Path Frequency | Repetitive journey patterns | Circular paths / Total paths × 100 | Experience confusion indicator |
| Attribution & Path Analytics | Time Analysis | Time to Conversion | Journey duration | Average days from first touch to conversion | Sales cycle understanding |
| Attribution & Path Analytics | Time Analysis | Time Between Touchpoints | Interaction spacing | Average time between consecutive touches | Engagement cadence insight |
| Attribution & Path Analytics | Time Analysis | Time Decay Impact | Recency effect on conversion | Conversion rate by time since touch | Timing optimization guide |
| Attribution & Path Analytics | Time Analysis | Optimal Contact Frequency | Best touch cadence | Conversion rate by touch frequency | Communication planning tool |
| Attribution & Path Analytics | Attribution Models | Model Comparison Variance | Attribution method differences | (Model A credit - Model B credit) / Model A credit × 100 | Model selection impact |
| Attribution & Path Analytics | Attribution Models | Incremental Value | True channel contribution | Test group lift vs control | Real impact isolation |
| Attribution & Path Analytics | Attribution Models | Cross-Device Attribution | Multi-device credit distribution | Cross-device journeys / Total journeys × 100 | Holistic view completeness |
| Attribution & Path Analytics | Attribution Models | View-Through Attribution | Impression impact credit | View-through conversions / Total conversions × 100 | Display value capture |
| Attribution & Path Analytics | Attribution Models | Algorithmic Attribution Score | ML-based credit distribution | Data-driven model output by channel | Sophisticated credit allocation |
| Attribution & Path Analytics | Channel Interaction | Channel Overlap | Multi-channel exposure | Users touching multiple channels / Total users × 100 | Integration opportunity |
| Attribution & Path Analytics | Channel Interaction | Channel Synergy Lift | Combined channel effect | (Multi-channel CVR - Single channel CVR) / Single channel CVR × 100 | Integration value proof |
| Attribution & Path Analytics | Channel Interaction | Channel Cannibalization | Negative channel interaction | Overlapping conversions / Total conversions × 100 | Efficiency loss identifier |
| Attribution & Path Analytics | Channel Interaction | Optimal Channel Mix | Best performing combinations | Conversion rate by channel combination | Mix optimization target |
| Attribution & Path Analytics | Path Value | Path ROI | Journey profitability | (Path revenue - Path cost) / Path cost × 100 | Route efficiency measure |
| Attribution & Path Analytics | Path Value | High-Value Path Identification | Premium journey patterns | Paths with above-average order value | Premium experience focus |
| Attribution & Path Analytics | Path Value | Path Conversion Value | Average value by path | Total revenue by path / Conversions by path | Journey prioritization guide |
| Attribution & Path Analytics | Advanced Attribution | Markov Chain Probability | Transition likelihood model | Statistical transition probabilities between states | Sophisticated path modeling |
| Attribution & Path Analytics | Advanced Attribution | Shapley Value | Game theory attribution | Fair credit distribution based on contribution | Equitable credit allocation |
| Attribution & Path Analytics | Advanced Attribution | Survival Analysis | Time-to-event modeling | Hazard rate of conversion over time | Duration-based insights |

## Predictive & Prescriptive Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Predictive & Prescriptive Analytics | Customer Predictions | Churn Probability | Likelihood of customer loss | ML model output (0-1 probability score) | Retention intervention priority |
| Predictive & Prescriptive Analytics | Customer Predictions | Lifetime Value Forecast | Predicted customer worth | ML prediction of future revenue | Investment ceiling guide |
| Predictive & Prescriptive Analytics | Customer Predictions | Next Purchase Prediction | Timing of next transaction | ML predicted days to next purchase | Engagement timing optimizer |
| Predictive & Prescriptive Analytics | Customer Predictions | Upsell Probability | Upgrade likelihood | ML model output (0-1 probability score) | Growth opportunity ranking |
| Predictive & Prescriptive Analytics | Customer Predictions | Reactivation Likelihood | Win-back probability | ML model for dormant customer return | Re-engagement prioritization |
| Predictive & Prescriptive Analytics | Behavioral Predictions | Content Affinity Prediction | Future content preferences | ML predicted content engagement probability | Personalization guide |
| Predictive & Prescriptive Analytics | Behavioral Predictions | Channel Preference Forecast | Future channel usage | ML predicted channel engagement patterns | Omnichannel strategy tool |
| Predictive & Prescriptive Analytics | Behavioral Predictions | Product Recommendation Score | Purchase likelihood by product | Collaborative filtering or ML recommendation confidence | Cross-sell optimization |
| Predictive & Prescriptive Analytics | Behavioral Predictions | Engagement Level Forecast | Future activity prediction | ML predicted engagement score trajectory | Resource allocation guide |
| Predictive & Prescriptive Analytics | Behavioral Predictions | Response Probability | Campaign reaction likelihood | ML model for individual response prediction | Targeting efficiency tool |
| Predictive & Prescriptive Analytics | Market Predictions | Demand Forecasting | Future market demand | Time series or ML demand prediction | Inventory/capacity planning |
| Predictive & Prescriptive Analytics | Market Predictions | Seasonal Pattern Detection | Cyclical trend identification | Statistical seasonality decomposition | Timing strategy tool |
| Predictive & Prescriptive Analytics | Market Predictions | Trend Inflection Prediction | Change point forecasting | ML trend change detection | Strategic pivot indicator |
| Predictive & Prescriptive Analytics | Market Predictions | Competitor Action Prediction | Competitive move forecasting | Pattern recognition on competitor behavior | Strategic planning input |
| Predictive & Prescriptive Analytics | Market Predictions | Market Share Forecast | Future position prediction | Regression or time series projection | Strategic goal setting |
| Predictive & Prescriptive Analytics | Optimization Recommendations | Budget Allocation Optimizer | Optimal spend distribution | Mathematical optimization output | Resource efficiency maximizer |
| Predictive & Prescriptive Analytics | Optimization Recommendations | Pricing Optimization | Optimal price points | Elasticity modeling and optimization | Revenue maximization tool |
| Predictive & Prescriptive Analytics | Optimization Recommendations | Contact Frequency Optimization | Best touch cadence | ML optimization for engagement without fatigue | Communication efficiency |
| Predictive & Prescriptive Analytics | Optimization Recommendations | Creative Selection Algorithm | Best creative for individual | ML creative performance prediction | Personalization automation |
| Predictive & Prescriptive Analytics | Optimization Recommendations | Next Best Action | Optimal next step | ML recommendation for highest value action | Decision automation tool |
| Predictive & Prescriptive Analytics | Risk Predictions | Fraud Probability Score | Transaction risk level | ML fraud detection model output | Security intervention trigger |
| Predictive & Prescriptive Analytics | Risk Predictions | Credit Risk Assessment | Payment default likelihood | ML credit scoring model | Financial risk management |
| Predictive & Prescriptive Analytics | Risk Predictions | Operational Risk Forecast | Process failure probability | ML operational anomaly detection | Preventive action trigger |
| Predictive & Prescriptive Analytics | Risk Predictions | Compliance Risk Score | Regulatory violation likelihood | Rule-based and ML compliance monitoring | Audit focus prioritization |
| Predictive & Prescriptive Analytics | Performance Predictions | Campaign Performance Forecast | Expected campaign results | ML prediction based on historical patterns | Planning accuracy tool |
| Predictive & Prescriptive Analytics | Performance Predictions | ROI Prediction | Expected return forecast | ML model for investment return prediction | Investment decision support |
| Predictive & Prescriptive Analytics | Performance Predictions | Conversion Rate Prediction | Expected success rate | ML model for future conversion rates | Goal setting tool |
| Predictive & Prescriptive Analytics | Performance Predictions | Revenue Impact Forecast | Business outcome prediction | ML revenue attribution and forecasting | Strategic impact assessment |
| Predictive & Prescriptive Analytics | Model Performance | Model Accuracy | Prediction correctness | Correct predictions / Total predictions × 100 | Model reliability measure |
| Predictive & Prescriptive Analytics | Model Performance | Model Precision | Positive prediction accuracy | True positives / (True positives + False positives) | Model quality for positive cases |
| Predictive & Prescriptive Analytics | Model Performance | Model Recall | Coverage of positives | True positives / (True positives + False negatives) | Model completeness measure |
| Predictive & Prescriptive Analytics | Model Performance | Model F1 Score | Balanced performance metric | 2 × (Precision × Recall) / (Precision + Recall) | Overall model effectiveness |
| Predictive & Prescriptive Analytics | Model Performance | Model Drift Detection | Performance degradation | Performance change over time windows | Model refresh trigger |

## Audience & Behavioral Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Audience & Behavioral Analytics | Demographics | Age Distribution | Audience age breakdown | Users by age group / Total users × 100 | Targeting refinement tool |
| Audience & Behavioral Analytics | Demographics | Gender Distribution | Audience gender mix | Users by gender / Total users × 100 | Messaging alignment guide |
| Audience & Behavioral Analytics | Demographics | Income Distribution | Economic bracket breakdown | Users by income range / Total users × 100 | Pricing strategy input |
| Audience & Behavioral Analytics | Demographics | Education Level | Audience education profile | Users by education / Total users × 100 | Content sophistication guide |
| Audience & Behavioral Analytics | Demographics | Household Composition | Family structure breakdown | Household types / Total households × 100 | Product relevance indicator |
| Audience & Behavioral Analytics | Psychographics | Interest Affinity Index | Topic interest strength | Interest engagement / Average engagement × 100 | Content strategy guide |
| Audience & Behavioral Analytics | Psychographics | Lifestyle Segmentation | Behavioral clustering | Users by lifestyle segment / Total users × 100 | Personalization framework |
| Audience & Behavioral Analytics | Psychographics | Value Orientation | Belief system alignment | Value segment distribution across audience | Messaging resonance guide |
| Audience & Behavioral Analytics | Psychographics | Brand Affinity Profile | Other brand preferences | Cross-brand usage patterns | Partnership opportunity finder |
| Audience & Behavioral Analytics | Psychographics | Media Consumption Habits | Content preference patterns | Media type consumption distribution | Channel strategy input |
| Audience & Behavioral Analytics | Geographic | Regional Distribution | Audience location spread | Users by region / Total users × 100 | Market prioritization tool |
| Audience & Behavioral Analytics | Geographic | Urban/Rural Mix | Settlement type distribution | Urban users / Total users × 100 | Distribution strategy guide |
| Audience & Behavioral Analytics | Geographic | Time Zone Distribution | Temporal audience spread | Users by time zone / Total users × 100 | Timing optimization input |
| Audience & Behavioral Analytics | Geographic | Language Distribution | Linguistic diversity | Users by language / Total users × 100 | Localization priority guide |
| Audience & Behavioral Analytics | Geographic | Cultural Context Index | Cultural factor influence | Cultural dimension scores by region | Adaptation requirement gauge |
| Audience & Behavioral Analytics | Technographic | Device Usage | Technology preferences | Sessions by device / Total sessions × 100 | Platform investment guide |
| Audience & Behavioral Analytics | Technographic | Browser Distribution | Web technology choices | Users by browser / Total users × 100 | Technical optimization priority |
| Audience & Behavioral Analytics | Technographic | Connection Speed | Internet quality profile | Users by connection type / Total users × 100 | Performance requirement setter |
| Audience & Behavioral Analytics | Technographic | Technology Adoption Curve | Innovation acceptance rate | Early adopters / Total audience × 100 | Innovation strategy gauge |
| Audience & Behavioral Analytics | Technographic | Platform Preference | OS and platform choices | Users by platform / Total users × 100 | Development priority guide |
| Audience & Behavioral Analytics | Behavioral Patterns | Visit Frequency Distribution | Engagement pattern types | Users by visit frequency / Total users × 100 | Engagement strategy segments |
| Audience & Behavioral Analytics | Behavioral Patterns | Session Timing Patterns | When users engage | Sessions by hour/day / Total sessions × 100 | Scheduling optimization tool |
| Audience & Behavioral Analytics | Behavioral Patterns | Content Consumption Velocity | Speed of content intake | Content pieces / Time period by user segment | Content pacing guide |
| Audience & Behavioral Analytics | Behavioral Patterns | Multi-Device Behavior | Cross-device usage patterns | Multi-device users / Total users × 100 | Experience consistency need |
| Audience & Behavioral Analytics | Behavioral Patterns | Seasonal Behavior Shifts | Temporal pattern changes | Behavior metric variance by season | Campaign timing strategy |
| Audience & Behavioral Analytics | Engagement Depth | Interaction Intensity Score | Depth of engagement | Weighted sum of engagement actions | Quality audience identifier |
| Audience & Behavioral Analytics | Engagement Depth | Feature Usage Breadth | Product exploration extent | Features used / Total features × 100 | Product adoption health |
| Audience & Behavioral Analytics | Engagement Depth | Community Participation Level | Social engagement depth | Community actions / Active users × 100 | Community health gauge |
| Audience & Behavioral Analytics | Engagement Depth | Content Creation Rate | User-generated content frequency | Content creators / Total users × 100 | Community activation level |
| Audience & Behavioral Analytics | Engagement Depth | Advocacy Behavior Index | Word-of-mouth activity level | Referrals + Reviews + Social shares composite | Organic growth driver measure |

## Channel Optimization Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Channel Optimization Analytics | Search Marketing | Organic Click Share | SERP click capture rate | Organic clicks / Total available clicks × 100 | SEO opportunity gauge |
| Channel Optimization Analytics | Search Marketing | Paid Search Impression Share | Ad visibility coverage | Impressions received / Total eligible impressions × 100 | SEM coverage indicator |
| Channel Optimization Analytics | Search Marketing | Search Query Match Rate | Keyword relevance alignment | Matched queries / Total queries × 100 | Targeting precision measure |
| Channel Optimization Analytics | Search Marketing | Quality Score | Ad relevance rating | Platform quality score (1-10) | Cost efficiency predictor |
| Channel Optimization Analytics | Search Marketing | Search Position Value | Ranking monetization | Revenue by position / Impressions by position | Position priority guide |
| Channel Optimization Analytics | Social Media | Organic Reach Rate | Non-paid visibility | Organic reach / Total followers × 100 | Content algorithm success |
| Channel Optimization Analytics | Social Media | Viral Coefficient | Content spread rate | New users from shares / Sharing users | Viral potential measure |
| Channel Optimization Analytics | Social Media | Social Commerce Rate | Platform purchase frequency | Social purchases / Social traffic × 100 | Channel monetization gauge |
| Channel Optimization Analytics | Social Media | Influencer Amplification | Partner reach extension | Influencer reach / Owned reach | Partnership value measure |
| Channel Optimization Analytics | Social Media | Social Customer Service Rate | Support interaction frequency | Service interactions / Total social interactions × 100 | Channel role indicator |
| Channel Optimization Analytics | Email Channel | Inbox Placement Rate | Delivery success to inbox | Emails in inbox / Emails sent × 100 | Deliverability health score |
| Channel Optimization Analytics | Email Channel | Email Revenue Per Recipient | Monetization efficiency | Email revenue / Total recipients | List value indicator |
| Channel Optimization Analytics | Email Channel | Segment Performance Index | Targeted campaign lift | Segment CTR / Overall CTR × 100 | Segmentation effectiveness |
| Channel Optimization Analytics | Email Channel | Email Fatigue Rate | Over-communication indicator | Declining engagement rate over frequency | Frequency optimization need |
| Channel Optimization Analytics | Email Channel | Win-Back Success Rate | Re-engagement effectiveness | Reactivated users / Win-back attempts × 100 | Retention program success |
| Channel Optimization Analytics | Display Advertising | Viewability Rate | Ad visibility percentage | Viewable impressions / Total impressions × 100 | Inventory quality measure |
| Channel Optimization Analytics | Display Advertising | Banner Blindness Index | Ad attention decline | CTR decline over time / Initial CTR × 100 | Creative refresh indicator |
| Channel Optimization Analytics | Display Advertising | Programmatic Efficiency | Automated buying performance | Programmatic ROI / Direct buy ROI | Automation value proof |
| Channel Optimization Analytics | Display Advertising | Creative Format Performance | Ad type effectiveness | CTR by format / Average CTR × 100 | Format optimization guide |
| Channel Optimization Analytics | Display Advertising | Contextual Relevance Score | Content alignment quality | Relevant placements / Total placements × 100 | Targeting quality measure |
| Channel Optimization Analytics | Content Marketing | Organic Traffic Share | Content's SEO contribution | Content organic traffic / Total organic × 100 | Content SEO success |
| Channel Optimization Analytics | Content Marketing | Content Virality Score | Sharing momentum measure | (Shares² / Views) × 100 | Viral content identifier |
| Channel Optimization Analytics | Content Marketing | Topic Authority Score | Subject matter dominance | Rankings for topic keywords / Total topic keywords | Expertise establishment gauge |
| Channel Optimization Analytics | Content Marketing | Content Decay Rate | Traffic decline over time | Monthly traffic decline rate | Refresh priority indicator |
| Channel Optimization Analytics | Content Marketing | Guest Post ROI | External content returns | (Referral value - Guest post cost) / Cost × 100 | Outreach effectiveness |
| Channel Optimization Analytics | Affiliate Marketing | Affiliate Contribution Rate | Channel revenue share | Affiliate revenue / Total revenue × 100 | Channel importance gauge |
| Channel Optimization Analytics | Affiliate Marketing | Partner Quality Score | Affiliate performance rating | Composite of volume, quality, compliance | Partner prioritization tool |
| Channel Optimization Analytics | Affiliate Marketing | Commission Efficiency | Payout optimization | Revenue per commission dollar | Program efficiency measure |
| Channel Optimization Analytics | Affiliate Marketing | Affiliate Fraud Rate | Invalid activity percentage | Fraudulent transactions / Total affiliate transactions × 100 | Risk management metric |
| Channel Optimization Analytics | Direct Channel | Direct Traffic Quality | Non-attributed visitor value | Direct traffic conversion rate / Overall rate | Brand strength indicator |
| Channel Optimization Analytics | Direct Channel | Brand Search Ratio | Branded vs non-branded | Branded searches / Total searches × 100 | Brand awareness measure |
| Channel Optimization Analytics | Direct Channel | Type-In Traffic Share | URL direct entry rate | Direct URL entries / Total direct traffic × 100 | Brand recall strength |

## Engagement & Interaction Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Engagement & Interaction Analytics | Content Engagement | Dwell Time | Time spent with content | Total time on content / Number of views | Content quality indicator |
| Engagement & Interaction Analytics | Content Engagement | Interaction Rate | Active engagement frequency | Total interactions / Total impressions × 100 | Content resonance measure |
| Engagement & Interaction Analytics | Content Engagement | Save/Bookmark Rate | Content preservation actions | Saves / Total views × 100 | Value perception indicator |
| Engagement & Interaction Analytics | Content Engagement | Return View Rate | Content re-consumption | Repeat views / Total views × 100 | Lasting value measure |
| Engagement & Interaction Analytics | Content Engagement | Engagement Velocity | Speed of interaction accumulation | Engagements / Hours since publication | Content momentum gauge |
| Engagement & Interaction Analytics | Social Engagement | Conversation Rate | Dialogue generation | Comments / Total posts × 100 | Community activation measure |
| Engagement & Interaction Analytics | Social Engagement | Amplification Rate | Content sharing frequency | Shares / Total followers × 100 | Message spread indicator |
| Engagement & Interaction Analytics | Social Engagement | Applause Rate | Positive reaction frequency | Likes / Total followers × 100 | Content approval measure |
| Engagement & Interaction Analytics | Social Engagement | Response Rate | Brand interaction frequency | Brand responses / Total mentions × 100 | Community management quality |
| Engagement & Interaction Analytics | Social Engagement | User Generated Content Rate | Community content creation | UGC posts / Total community members × 100 | Community vitality measure |
| Engagement & Interaction Analytics | Interactive Elements | Form Completion Rate | Data capture success | Completed forms / Form starts × 100 | UX friction indicator |
| Engagement & Interaction Analytics | Interactive Elements | Tool Usage Rate | Interactive feature adoption | Tool users / Total visitors × 100 | Feature value validation |
| Engagement & Interaction Analytics | Interactive Elements | Quiz/Survey Completion | Interactive content success | Completions / Starts × 100 | Engagement depth measure |
| Engagement & Interaction Analytics | Interactive Elements | Download Rate | Content value perception | Downloads / Download page views × 100 | Content utility indicator |
| Engagement & Interaction Analytics | Interactive Elements | Video Interaction Rate | Video engagement depth | (Plays + Pauses + Seeks) / Views × 100 | Active viewing measure |
| Engagement & Interaction Analytics | Community Metrics | Active Community Percentage | Engaged member ratio | Active members / Total members × 100 | Community health score |
| Engagement & Interaction Analytics | Community Metrics | Member Contribution Rate | Content creation frequency | Contributing members / Total members × 100 | Community participation level |
| Engagement & Interaction Analytics | Community Metrics | Community Growth Rate | Member base expansion | (New members - Lost members) / Total members × 100 | Community momentum |
| Engagement & Interaction Analytics | Community Metrics | Peer Response Rate | Member-to-member interaction | Member responses / Total posts × 100 | Self-sustaining indicator |
| Engagement & Interaction Analytics | Community Metrics | Community Sentiment Score | Member satisfaction level | Positive expressions / Total expressions × 100 | Community satisfaction gauge |
| Engagement & Interaction Analytics | Loyalty Indicators | Repeat Engagement Rate | Return visitor frequency | Returning users / Total users × 100 | Audience loyalty measure |
| Engagement & Interaction Analytics | Loyalty Indicators | Engagement Recency | Last interaction timing | Days since last engagement distribution | Relationship freshness gauge |
| Engagement & Interaction Analytics | Loyalty Indicators | Engagement Consistency | Regular interaction patterns | Users engaging X of last Y periods × 100 | Habit formation measure |
| Engagement & Interaction Analytics | Loyalty Indicators | Super User Percentage | Highly engaged user share | Power users / Total users × 100 | Core audience identifier |
| Engagement & Interaction Analytics | Cross-Platform Engagement | Omnichannel Engagement Rate | Multi-platform usage | Multi-platform users / Total users × 100 | Ecosystem adoption measure |
| Engagement & Interaction Analytics | Cross-Platform Engagement | Platform Transition Rate | Cross-platform movement | Platform switches / Total sessions × 100 | User journey fluidity |
| Engagement & Interaction Analytics | Cross-Platform Engagement | Synchronized Engagement | Coordinated platform use | Simultaneous platform users / Multi-platform users × 100 | Integrated experience measure |
| Engagement & Interaction Analytics | Qualitative Engagement | Sentiment Progression | Opinion change over time | Sentiment score change over user lifetime | Relationship evolution tracker |
| Engagement & Interaction Analytics | Qualitative Engagement | Feedback Quality Score | Input value assessment | Actionable feedback / Total feedback × 100 | User input value measure |
| Engagement & Interaction Analytics | Qualitative Engagement | Recommendation Intent | Advocacy likelihood | Users likely to recommend / Total users × 100 | True satisfaction indicator |

## Operational Efficiency Analytics

| Segment | Category | Metric Name | Description | Calculation/Formula | Strategic Value |
|---------|----------|-------------|-------------|-------------------|-----------------|
| Operational Efficiency Analytics | Resource Utilization | Marketing FTE Productivity | Output per team member | Revenue influenced / Marketing FTEs | Team efficiency benchmark |
| Operational Efficiency Analytics | Resource Utilization | Budget Burn Rate | Spend velocity | Monthly spend / Monthly budget × 100 | Pacing control metric |
